obra;mes_ano
Z116;06/2010
Z116;07/2010
Z116;08/2010
Z116;09/2010
Z116;10/2010
Z116;11/2010
Z116;12/2010
Z116;01/2011
Z116;02/2011
Z116;03/2011
Z117;04/2009
Z117;05/2009
Z117;06/2009
Z117;07/2009
Z117;08/2009
Z117;09/2009
Z117;10/2009
Z117;11/2009
Z117;12/2009
Z117;01/2010
Z117;02/2010
Z117;03/2010
Z117;04/2010
Z117;05/2010
Z117;06/2010
Z117;07/2010
Z117;08/2010
Z117;09/2010
Z117;10/2010
Z117;11/2010
Z117;12/2010
Z117;01/2011
Z117;02/2011
Z117;03/2011
Z117;04/2011
Z117;05/2011
Z117;06/2011
Z117;07/2011
Z117;08/2011
Z117;09/2011
Z117;10/2011
Z117;11/2011
Z117;12/2011
Z117;01/2012
Z117;02/2012
Z117;03/2012
Z117;04/2012
Z117;05/2012
Z117;06/2012
Z117;07/2012
Z117;08/2012
Z117;09/2012
Z117;10/2012
Z117;11/2012
Z117;12/2012
Z117;01/2013
Z117;02/2013
Z117;03/2013
Z117;04/2013
Z117;05/2013
Z117;06/2013
Z117;07/2013
Z117;08/2013
Z117;09/2013
Z117;10/2013
Z117;11/2013
Z117;12/2013
Z117;01/2014
Z117;02/2014
Z117;03/2014
Z123;09/2009
Z123;10/2009
Z123;11/2009
Z123;12/2009
Z123;01/2010
Z123;02/2010
Z123;03/2010
Z123;04/2010
Z123;05/2010
Z123;06/2010
Z123;07/2010
Z123;08/2010
Z123;09/2010
Z123;10/2010
Z123;11/2010
Z123;12/2010
Z123;01/2011
Z123;02/2011
Z123;03/2011
Z123;04/2011
Z123;05/2011
Z123;06/2011
Z123;07/2011
Z123;08/2011
Z123;09/2011
Z123;10/2011
Z123;11/2011
Z123;12/2011
Z123;01/2012
Z123;02/2012
Z123;03/2012
Z123;04/2012
Z123;05/2012
Z123;06/2012
Z123;07/2012
Z123;08/2012
Z123;09/2012
Z123;10/2012
Z123;11/2012
Z123;12/2012
Z123;01/2013
Z123;02/2013
Z123;03/2013
Z123;04/2013
Z124;12/2009
Z124;01/2010
Z124;02/2010
Z124;03/2010
Z124;04/2010
Z124;05/2010
Z124;06/2010
Z124;07/2010
Z124;08/2010
Z124;09/2010
Z124;10/2010
Z124;11/2010
Z124;12/2010
Z124;01/2011
Z124;02/2011
Z124;03/2011
Z124;04/2011
Z124;05/2011
Z124;06/2011
Z124;07/2011
Z124;08/2011
Z124;09/2011
Z124;10/2011
Z124;11/2011
Z124;12/2011
Z124;01/2012
Z124;02/2012
Z124;03/2012
Z124;04/2012
Z124;05/2012
Z124;06/2012
Z124;07/2012
Z124;08/2012
Z124;09/2012
Z124;10/2012
Z124;11/2012
Z124;12/2012
Z124;01/2013
Z124;02/2013
Z124;03/2013
Z124;04/2013
Z124;05/2013
Z124;06/2013
Z124;07/2013
Z124;08/2013
Z124;09/2013
Z124;10/2013
Z124;11/2013
Z128;01/2010
Z128;02/2010
Z128;03/2010
Z128;04/2010
Z128;05/2010
Z128;06/2010
Z128;07/2010
Z128;08/2010
Z128;09/2010
Z128;10/2010
Z128;11/2010
Z128;12/2010
Z128;01/2011
Z128;02/2011
Z128;03/2011
Z128;04/2011
Z128;05/2011
Z128;06/2011
Z128;07/2011
Z128;08/2011
Z128;09/2011
Z128;10/2011
Z128;11/2011
Z128;12/2011
Z128;01/2012
Z128;02/2012
Z128;03/2012
Z128;04/2012
Z128;05/2012
Z128;06/2012
Z128;07/2012
Z128;08/2012
